,Price,Year,Month,Day,MA_7,MA_30,MA_90,Daily_Change,Pct_Change
2017-11-28,63.61000061035156,2017,11,1,63.667143140520366,62.78500010172526,58.46111102634006,-0.22999954223632812,-0.3602749713135789
2017-11-29,63.11000061035156,2017,11,2,63.63714327130999,62.85866673787435,58.58033324347602,-0.5,-0.7860399232862636
2017-11-30,63.56999969482422,2017,11,3,63.67285755702427,62.932000096638994,58.70533324347602,0.45999908447265625,0.7288846142036176
2017-12-01,63.4900016784668,2017,12,4,63.620000566755024,63.005333455403644,58.829444376627606,-0.07999801635742188,-0.12584240481589015
2017-12-02,63.4900016784668,2017,12,5,63.56714357648577,63.101000213623045,58.953555509779186,0.0,0.0
2017-12-03,63.4900016784668,2017,12,6,63.51428658621652,63.1483336130778,59.07766664293077,0.0,0.0
2017-12-04,62.45000076293945,2017,12,0,63.31571524483817,63.16100031534831,59.178444417317706,-1.0400009155273438,-1.6380546354278436
2017-12-05,62.86000061035156,2017,12,1,63.20857238769531,63.18733367919922,59.27466663784451,0.4099998474121094,0.6565249678194052
2017-12-06,61.220001220703125,2017,12,2,62.938572474888396,63.08566716512044,59.34944441053602,-1.6399993896484375,-2.6089713231379874
2017-12-07,62.20000076293945,2017,12,3,62.742858341761995,63.03600056966146,59.44299998813205,0.9799995422363281,1.6007832778430542
2017-12-08,63.400001525878906,2017,12,4,62.73000117710659,63.0330005645752,59.54988890753852,1.2000007629394531,1.9292616530873774
2017-12-09,63.400001525878906,2017,12,5,62.71714401245117,63.01533393859863,59.65677782694499,0.0,0.0
2017-12-10,63.400001525878906,2017,12,6,62.70428684779576,63.01133397420247,59.763000064425995,0.0,0.0
2017-12-11,64.69000244140625,2017,12,0,63.02428708757673,63.0503340403239,59.87877786424425,1.2900009155273438,2.0347017105366794
2017-12-12,63.34000015258789,2017,12,1,63.09285845075335,63.04433403015137,59.96966675652398,-1.3500022888183594,-2.0868793289057885
2017-12-13,62.43999862670898,2017,12,2,63.267143794468474,63.020333989461264,60.047111172146266,-0.9000015258789134,-1.4209054684414024
2017-12-14,63.310001373291016,2017,12,3,63.42571531023298,63.057000732421876,60.132555643717446,0.8700027465820384,1.3933420334988567
2017-12-15,63.22999954223633,2017,12,4,63.40142931256975,63.102334086100264,60.21711120605469,-0.0800018310546875,-0.12636523348495965
2017-12-16,63.22999954223633,2017,12,5,63.377143314906526,63.16466738382975,60.301666768391925,0.0,0.0
