ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-04-12,42.07011129287297,35.82183838026,48.59938876212867,42.07011129287297,42.07011129287297,0.17934871156233548,0.17934871156233548,0.17934871156233548,-0.09144544768261648,-0.09144544768261648,-0.09144544768261648,0.2707941592449519,0.2707941592449519,0.2707941592449519,0.0,0.0,0.0,42.249460004435306
2016-04-13,42.102004308256284,35.588953459013766,48.2333833810523,42.102004308256284,42.102004308256284,0.21260720166017844,0.21260720166017844,0.21260720166017844,-0.10490619201518141,-0.10490619201518141,-0.10490619201518141,0.31751339367535986,0.31751339367535986,0.31751339367535986,0.0,0.0,0.0,42.31461150991646
2016-04-14,42.14248813857949,36.104191100161586,48.66989557634976,42.14248813857949,42.14248813857949,0.3045006309157637,0.3045006309157637,0.3045006309157637,-0.036467106944877696,-0.036467106944877696,-0.036467106944877696,0.34096773786064133,0.34096773786064133,0.34096773786064133,0.0,0.0,0.0,42.44698876949525
2016-04-15,42.182971968902685,36.23157684647917,49.001241473312085,42.182971968902685,42.182971968902685,0.4396081877459159,0.4396081877459159,0.4396081877459159,0.09792897936106926,0.09792897936106926,0.09792897936106926,0.3416792083848467,0.3416792083848467,0.3416792083848467,0.0,0.0,0.0,42.6225801566486
2016-04-16,42.22345579922588,36.57390345809185,48.773003428389984,42.22345579922588,42.22345579922588,0.41123642760857815,0.41123642760857815,0.41123642760857815,0.09051077938258725,0.09051077938258725,0.09051077938258725,0.32072564822599087,0.32072564822599087,0.32072564822599087,0.0,0.0,0.0,42.63469222683446
2016-04-17,42.26393962954908,36.30578646479884,49.10976927536656,42.26393962954908,42.26393962954908,0.362612691086459,0.362612691086459,0.362612691086459,0.08290859841454461,0.08290859841454461,0.08290859841454461,0.2797040926719144,0.2797040926719144,0.2797040926719144,0.0,0.0,0.0,42.62655232063554
2016-04-18,42.30442345987227,36.33147548874633,48.777023760519185,42.30442345987227,42.30442345987227,0.18215247013363944,0.18215247013363944,0.18215247013363944,-0.03852961051578214,-0.03852961051578214,-0.03852961051578214,0.2206820806494216,0.2206820806494216,0.2206820806494216,0.0,0.0,0.0,42.486575930005905
2016-04-19,42.34490729019547,36.62520592623121,48.46351067934903,42.34490729019547,42.34490729019547,0.05469285284988986,0.05469285284988986,0.05469285284988986,-0.09144544768253945,-0.09144544768253945,-0.09144544768253945,0.14613830053242932,0.14613830053242932,0.14613830053242932,0.0,0.0,0.0,42.39960014304536
2016-04-20,42.38539112051867,35.71702010282302,48.4733153935297,42.38539112051867,42.38539112051867,-0.0460119787699765,-0.0460119787699765,-0.0460119787699765,-0.10490619201519744,-0.10490619201519744,-0.10490619201519744,0.058894213245220935,0.058894213245220935,0.058894213245220935,0.0,0.0,0.0,42.339379141748694
2016-04-21,42.42587495084186,35.57929326554143,48.56153397781885,42.42587495084186,42.42587495084186,-0.07442860314605011,-0.07442860314605011,-0.07442860314605011,-0.03646710694491914,-0.03646710694491914,-0.03646710694491914,-0.03796149620113096,-0.03796149620113096,-0.03796149620113096,0.0,0.0,0.0,42.351446347695806
2016-04-22,42.466358781165056,36.41112938354811,49.059537458332024,42.466358781165056,42.466358781165056,-0.0432246504153141,-0.0432246504153141,-0.0432246504153141,0.09792897936114622,0.09792897936114622,0.09792897936114622,-0.14115362977646032,-0.14115362977646032,-0.14115362977646032,0.0,0.0,0.0,42.423134130749744
2016-04-23,42.50684261148825,36.08551536337974,48.32702770737595,42.50684261148825,42.50684261148825,-0.15679345814971513,-0.15679345814971513,-0.15679345814971513,0.09051077938258499,0.09051077938258499,0.09051077938258499,-0.2473042375323001,-0.2473042375323001,-0.2473042375323001,0.0,0.0,0.0,42.35004915333854
2016-04-24,42.54732644181145,35.95451562954424,48.71801125537899,42.54732644181145,42.54732644181145,-0.27010867048545306,-0.27010867048545306,-0.27010867048545306,0.08290859841447686,0.08290859841447686,0.08290859841447686,-0.35301726889992985,-0.35301726889992985,-0.35301726889992985,0.0,0.0,0.0,42.277217771325994
2016-04-25,42.58781027213465,35.591833147392414,48.46631075142224,42.58781027213465,42.58781027213465,-0.49349157465730986,-0.49349157465730986,-0.49349157465730986,-0.03852961051570979,-0.03852961051570979,-0.03852961051570979,-0.45496196414160006,-0.45496196414160006,-0.45496196414160006,0.0,0.0,0.0,42.094318697477334
2016-04-26,42.62829410245784,35.743375094985296,47.806843877302676,42.62829410245784,42.62829410245784,-0.641398349522808,-0.641398349522808,-0.641398349522808,-0.09144544768235723,-0.09144544768235723,-0.09144544768235723,-0.5499529018404509,-0.5499529018404509,-0.5499529018404509,0.0,0.0,0.0,41.986895752935034
2016-04-27,42.66877793278104,35.56151891935935,48.57392034118469,42.66877793278104,42.66877793278104,-0.739930929999523,-0.739930929999523,-0.739930929999523,-0.10490619201528904,-0.10490619201528904,-0.10490619201528904,-0.635024737984234,-0.635024737984234,-0.635024737984234,0.0,0.0,0.0,41.92884700278152
2016-04-28,42.70926176310424,35.455685260890895,48.16080923290711,42.70926176310424,42.70926176310424,-0.743966948770581,-0.743966948770581,-0.743966948770581,-0.036467106944867135,-0.036467106944867135,-0.036467106944867135,-0.7074998418257139,-0.7074998418257139,-0.7074998418257139,0.0,0.0,0.0,41.96529481433365
2016-04-29,42.749745593427434,35.54065535000545,48.53860646950129,42.749745593427434,42.749745593427434,-0.6671182687417071,-0.6671182687417071,-0.6671182687417071,0.09792897936113971,0.09792897936113971,0.09792897936113971,-0.7650472481028469,-0.7650472481028469,-0.7650472481028469,0.0,0.0,0.0,42.082627324685724
2016-04-30,42.79022942375063,35.73338647281646,48.33101173462568,42.79022942375063,42.79022942375063,-0.715220818760197,-0.715220818760197,-0.715220818760197,0.09051077938258752,0.09051077938258752,0.09051077938258752,-0.8057315981427846,-0.8057315981427846,-0.8057315981427846,0.0,0.0,0.0,42.07500860499044
